cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,move
256,128,64,16,32,64,16,4,8,4,8,0,4,2,2,0,1
256,128,64,16,32,64,16,4,8,4,8,2,8,0,0,0,0
256,128,64,16,32,64,16,4,16,4,8,2,0,0,0,2,1
256,128,64,16,32,64,16,4,16,4,8,2,2,2,0,0,0
256,128,64,16,32,64,16,4,16,4,8,2,4,2,0,0,0
256,128,64,16,32,64,16,4,16,4,8,2,4,2,2,0,0
256,128,64,16,32,64,16,4,16,4,8,2,4,2,2,2,1
256,128,64,16,32,64,16,8,16,4,8,0,4,2,2,2,1
256,128,64,16,32,64,16,8,16,4,8,2,4,2,4,0,0
256,128,64,16,32,64,16,8,16,4,8,2,2,4,2,4,2
256,128,64,16,32,64,16,8,16,8,8,2,2,2,2,4,1
256,128,64,16,32,64,16,8,32,2,2,0,2,4,4,0,0
256,128,64,16,64,64,16,8,2,2,2,0,2,4,4,0,1
256,128,64,16,128,16,8,0,2,4,2,0,2,8,0,0,0
256,128,64,16,128,16,8,0,4,4,2,2,0,8,0,0,1
256,128,64,16,0,128,16,8,0,2,4,8,0,0,0,8,2
256,256,64,16,4,2,16,8,0,0,4,16,0,0,0,0,1
512,64,16,0,4,2,16,8,4,16,2,0,0,0,0,0,0
512,64,32,8,8,2,2,0,0,16,0,0,0,0,2,0,1
512,64,32,8,8,4,0,0,16,0,0,0,2,2,0,0,0
